rowCount,5321088
totalLv,10642176.000009
borderLv,10631533.824009
countLv,10631551.324361
borderIndex,334
borderRate,0.334000
changeRate,1.497006
sampleCount,10642176
otowareCount,0
otowareRate,0.000000
message,(“Á‚É–³‚µ)
OutputCancelled,0
Lvs,236,1626.965886
Lvs,237,1581.972019
Lvs,238,1567.840422
Lvs,239,1513.175839
Lvs,240,1479.579442
Lvs,241,1445.294104
Lvs,242,1429.369006
Lvs,243,1390.142178
Lvs,244,1371.742272
Lvs,245,1339.374246
Lvs,246,1305.805185
Lvs,247,1281.225314
Lvs,248,1251.614010
Lvs,249,1223.822462
Lvs,250,1212.570193
Lvs,251,1177.685191
Lvs,252,1136.618393
Lvs,253,1104.018167
Lvs,254,1088.819211
Lvs,255,1061.147685
Lvs,256,1048.894830
Lvs,257,1036.757468
Lvs,258,1028.208094
Lvs,259,1022.316327
Lvs,260,996.695560
Lvs,261,971.369962
Lvs,262,955.068712
Lvs,263,929.373248
Lvs,264,902.345518
Lvs,265,895.551311
Lvs,266,891.051897
Lvs,267,865.813486
Lvs,268,838.166680
Lvs,269,827.820614
Lvs,270,807.917906
Lvs,271,796.639447
Lvs,272,788.268889
Lvs,273,760.254404
Lvs,274,738.648607
Lvs,275,733.898812
Lvs,276,723.521954
Lvs,277,713.749374
Lvs,278,690.098445
Lvs,279,678.816645
Lvs,280,665.770474
Lvs,281,639.595196
Lvs,282,622.502666
Lvs,283,615.502105
Lvs,284,614.074846
Lvs,285,604.432175
Lvs,286,588.898570
Lvs,287,567.502433
Lvs,288,560.037442
Lvs,289,539.272283
Lvs,290,525.848167
Lvs,291,522.002589
Lvs,292,518.298412
Lvs,293,498.704735
Lvs,294,492.538211
Lvs,295,486.712817
Lvs,296,480.345759
Lvs,297,462.979511
Lvs,298,461.030484
Lvs,299,453.748980
Lvs,300,438.792583
Lvs,301,435.643328
Lvs,302,428.830000
Lvs,303,418.268140
Lvs,304,405.711344
Lvs,305,405.142909
Lvs,306,398.443349
Lvs,307,388.671390
Lvs,308,374.066441
Lvs,309,370.546715
Lvs,310,371.324474
Lvs,311,366.748214
Lvs,312,351.946373
Lvs,313,349.383379
Lvs,314,338.118909
Lvs,315,319.058223
Lvs,316,316.945007
Lvs,317,313.666536
Lvs,318,301.655413
Lvs,319,291.039668
Lvs,320,282.331641
Lvs,321,277.992975
Lvs,322,279.202250
Lvs,323,272.531630
Lvs,324,261.456800
Lvs,325,258.430728
Lvs,326,262.993182
Lvs,327,258.126660
Lvs,328,251.941880
Lvs,329,246.230995
Lvs,330,234.746030
Lvs,331,232.431031
Lvs,332,239.053956
Lvs,333,233.752518
Lvs,334,224.174985
Lvs,335,226.248367
Lvs,336,217.689323
Lvs,337,211.956329
Lvs,338,207.735075
Lvs,339,200.204101
Lvs,340,197.393639
Lvs,341,194.246132
Lvs,342,184.676313
Lvs,343,181.086462
Lvs,344,183.003632
Lvs,345,180.781668
Lvs,346,176.765539
Lvs,347,177.499234
Lvs,348,168.435399
Lvs,349,164.214030
Lvs,350,160.571364
Lvs,351,158.301777
Lvs,352,152.768091
Lvs,353,149.272122
Lvs,354,146.249698
Lvs,355,145.909802
Lvs,356,144.422138
Lvs,357,148.135594
Lvs,358,143.852924
Lvs,359,142.268739
Lvs,360,142.943353
Lvs,361,142.082627
Lvs,362,141.411707
Lvs,363,133.398140
Lvs,364,135.575633
Lvs,365,128.650053
Lvs,366,125.652964
Lvs,367,124.338048
Lvs,368,121.422376
Lvs,369,122.096871
Lvs,370,122.521654
Lvs,371,114.799807
Lvs,372,112.342640
Lvs,373,111.726424
Lvs,374,109.473624
Lvs,375,108.936672
Lvs,376,103.782628
Lvs,377,100.223660
Lvs,378,98.726651
Lvs,379,95.012169
Lvs,380,92.805872
Lvs,381,91.199379
Lvs,382,88.544429
Lvs,383,87.189398
Lvs,384,85.680598
Lvs,385,83.417509
Lvs,386,79.839612
Lvs,387,76.953366
Lvs,388,74.600568
Lvs,389,71.203061
Lvs,390,71.642602
Lvs,391,73.578761
Lvs,392,73.442771
Lvs,393,70.226587
Lvs,394,69.601026
Lvs,395,72.363917
Lvs,396,64.749502
Lvs,397,60.025714
Lvs,398,61.837862
Lvs,399,59.690763
Lvs,400,61.052944
Lvs,401,60.986493
Lvs,402,62.363873
Lvs,403,59.899008
Lvs,404,55.909821
Lvs,405,55.765605
Lvs,406,52.201518
Lvs,407,47.832108
Lvs,408,48.391326
Lvs,409,46.194276
Lvs,410,43.717707
Lvs,411,46.518249
Lvs,412,42.338350
Lvs,413,40.672145
Lvs,414,41.112896
Lvs,415,41.361894
Lvs,416,39.223299
Lvs,417,39.618912
Lvs,418,39.082636
Lvs,419,40.683625
Lvs,420,36.340474
Lvs,421,35.832032
Lvs,422,35.048164
Lvs,423,33.077230
Lvs,424,33.337591
Lvs,425,32.849343
Lvs,426,34.779557
Lvs,427,32.420930
Lvs,428,30.566308
Lvs,429,27.899064
Lvs,430,27.111307
Lvs,431,28.634089
Lvs,432,27.978572
Lvs,433,27.508170
Lvs,434,24.899106
Lvs,435,25.673605
Lvs,436,25.999167
Lvs,437,25.225333
Lvs,438,25.319750
Lvs,439,23.256096
Lvs,440,23.331399
Lvs,441,22.350564
Lvs,442,21.477867
Lvs,443,21.707796
Lvs,444,21.043566
Lvs,445,19.742535
Lvs,446,18.933662
Lvs,447,17.510521
Lvs,448,18.329504
Lvs,449,18.121040
Lvs,450,17.973688
Lvs,451,18.013607
Lvs,452,17.921910
Lvs,453,17.308885
Lvs,454,16.756700
Lvs,455,17.118587
Lvs,456,15.723712
Lvs,457,14.171308
Lvs,458,14.513881
Lvs,459,12.680133
Lvs,460,12.995578
Lvs,461,12.416114
Lvs,462,11.240353
Lvs,463,11.226769
Lvs,464,10.846924
Lvs,465,10.828774
Lvs,466,12.298295
Lvs,467,11.790545
Lvs,468,11.535089
Lvs,469,13.497008
Lvs,470,11.130883
Lvs,471,10.336828
Lvs,472,8.986963
Lvs,473,8.949206
Lvs,474,8.232248
Lvs,475,8.267829
Lvs,476,8.303763
Lvs,477,8.130487
Lvs,478,8.562077
Lvs,479,8.707354
Lvs,480,10.620703
Lvs,481,9.115491
Lvs,482,7.739645
Lvs,483,7.989663
Lvs,484,7.094213
Lvs,485,5.799051
Lvs,486,5.635475
Lvs,487,5.546313
Lvs,488,6.106207
Lvs,489,4.634645
Lvs,490,4.668412
Lvs,491,5.275469
Lvs,492,5.711327
Lvs,493,5.833409
Lvs,494,5.973207
Lvs,495,5.096764
Lvs,496,4.059181
Lvs,497,3.940339
Lvs,498,3.965129
Lvs,499,3.909781
Lvs,500,4.033326
Lvs,501,4.075639
Lvs,502,3.741054
Lvs,503,3.411800
Lvs,504,3.307905
Lvs,505,3.106227
Lvs,506,2.855945
Lvs,507,2.838438
Lvs,508,2.902026
Lvs,509,2.902026
Lvs,510,2.748807
Lvs,511,2.680357
Lvs,512,2.970775
Lvs,513,4.305368
Lvs,514,3.018890
Lvs,515,2.529311
Lvs,516,2.308812
Lvs,517,1.819200
Lvs,518,1.462651
Lvs,519,1.528675
Lvs,520,1.766311
Lvs,521,3.019934
Lvs,522,2.135152
Lvs,523,2.161686
Lvs,524,1.829617
Lvs,525,1.397405
Lvs,526,1.355046
Lvs,527,1.406226
Lvs,528,1.305385
Lvs,529,1.209320
Lvs,530,1.257726
Lvs,531,1.301355
Lvs,532,1.301355
Lvs,533,1.141895
Lvs,534,0.904369
Lvs,535,0.959638
Lvs,536,1.092971
Lvs,537,1.092971
Lvs,538,0.950926
Lvs,539,0.808881
Lvs,540,0.822052
Lvs,541,0.691203
Lvs,542,0.547183
Lvs,543,0.547183
Lvs,544,0.522539
Lvs,545,0.497895
Lvs,546,0.405983
Lvs,547,0.377563
Lvs,548,0.441055
Lvs,549,0.441055
Lvs,550,0.441055
Lvs,551,0.441055
Lvs,552,0.441055
Lvs,553,0.441055
Lvs,554,0.362682
Lvs,555,0.284309
Lvs,556,0.320397
Lvs,557,0.356486
Lvs,558,0.356486
Lvs,559,0.356486
Lvs,560,0.356486
Lvs,561,0.315943
Lvs,562,0.275401
Lvs,563,0.846830
Lvs,564,1.155725
Lvs,565,0.893192
Lvs,566,0.593192
Lvs,567,0.447664
Lvs,568,0.602135
Lvs,569,0.602135
Lvs,570,0.364040
Lvs,571,0.125945
Lvs,572,0.125945
Lvs,573,0.125945
Lvs,574,0.125945
Lvs,575,0.125945
Lvs,576,0.125945
Lvs,577,0.125945
Lvs,578,0.125945
Lvs,579,0.125945
Lvs,580,0.125945
Lvs,581,0.237431
Lvs,582,0.348918
Lvs,583,0.348918
Lvs,584,0.348918
Lvs,585,0.200108
Lvs,586,0.051299
Lvs,587,0.051299
Lvs,588,0.051299
Lvs,589,0.051299
Lvs,590,0.051299
Lvs,591,0.051299
Lvs,592,0.051299
Lvs,593,0.051299
Lvs,594,0.051299
Lvs,595,0.051299
Lvs,596,0.162013
Lvs,597,0.272727
Lvs,598,0.272727
Lvs,599,0.272727
Lvs,600,0.136364
Lvs,601,0.000000
Lvs,602,0.000000
Lvs,603,0.000000
Lvs,604,0.000000
Lvs,605,0.000000
Lvs,606,0.000000
Lvs,607,0.000000
Lvs,608,0.000000
Lvs,609,0.000000
Lvs,610,0.000000
Lvs,611,0.000000
Lvs,612,0.000000
Lvs,613,0.000000
Lvs,614,0.000000
Lvs,615,0.000000
Lvs,616,0.000000
Lvs,617,0.000000
Lvs,618,0.000000
Lvs,619,0.000000
Lvs,620,0.000000
Lvs,621,0.000000
Lvs,622,0.000000
Lvs,623,0.000000
Lvs,624,0.000000
Lvs,625,0.000000
Lvs,626,0.000000
Lvs,627,0.000000
Lvs,628,0.000000
Lvs,629,0.000000
Lvs,630,0.000000
Lvs,631,0.000000
Lvs,632,0.000000
Lvs,633,0.000000
Lvs,634,0.000000
Lvs,635,0.000000
Lvs,636,0.000000
Lvs,637,0.000000
Lvs,638,0.000000
Lvs,639,0.000000
Lvs,640,0.000000
Lvs,641,0.000000
Lvs,642,0.000000
Lvs,643,0.000000
Lvs,644,0.000000
Lvs,645,0.000000
Lvs,646,0.000000
Lvs,647,0.000000
Lvs,648,0.000000
Lvs,649,0.000000
Lvs,650,0.000000
Lvs,651,0.000000
Lvs,652,0.000000
Lvs,653,0.000000
Lvs,654,0.000000
Lvs,655,0.000000
Lvs,656,0.000000
Lvs,657,0.000000
Lvs,658,0.000000
Lvs,659,0.000000
Lvs,660,0.000000
